WNB0003.4+7513    0  3 24.87  75 13  6.7   0  6  3.93  75 29 48.5  S        24      25    0   0   0  2.5 WNP75_000
WNB0003.4+7950    0  3 28.98  79 50 28.0   0  6 10.74  80  7  9.7  S        36      57   85  53  69  2.2 WNP80_000
WNB0003.4+7628    0  3 29.37  76 28 21.8   0  6  9.05  76 45  3.5  S        10      17   78  65  31  2.3 WNP75_000
WNB0003.4+8525    0  3 29.72  85 25 42.0   0  6 22.08  85 42 23.7  S       543     528    0   0   0  2.1 WNP85_000
WNB0003.4+8204    0  3 29.95  82  4 56.8   0  6 14.13  82 21 38.5  S *      14      20   99  42  53  2.2 WNP80_000
WNB0004.0+8244    0  4  1.22  82 44 34.4   0  6 47.64  83  1 16.1  S        54      74   71  56  91  2.2 WNP80_000
WNB0004.0+8419    0  4  2.55  84 19 21.1   0  6 52.77  84 36  2.8  S         9      13    0   0   0  2.0 WNP85_000
WNB0004.0+7645    0  4  2.96  76 45  8.2   0  6 43.48  77  1 49.9  S        17      30   81  63  27  2.4 WNP75_000
WNB0004.0+7659    0  4  3.25  76 59  4.2   0  6 43.91  77 15 45.8  S        13      11    0   0   0  2.4 WNP75_000
WNB0004.0+8009    0  4  5.16  80  9 34.4   0  6 48.23  80 26 16.1  S        56      66   62  56  27  2.1 WNP80_000
WNB0004.0+8216    0  4  5.34  82 16 54.8   0  6 51.12  82 33 36.4  S       160     171   56  54  96  2.2 WNP80_000
WNB0004.2+7503 p  0  4 12.79  75  3 54.6   0  6 52.68  75 20 36.2  S        32      34    0   0   0  2.5 WNP75_000
WNB0004.3+7816    0  4 20.45  78 16 45.9   0  7  2.33  78 33 27.5  S        23      20    0   0   0  2.4 WNP80_000
WNB0004.4+8159    0  4 25.19  81 59 14.8   0  7 11.21  82 15 56.4  S        46      64   71  56 164  2.1 WNP80_000
WNB0004.6+8504    0  4 40.91  85  4 48.1   0  7 36.13  85 21 29.7  S        46      43    0   0   0  2.0 WNP85_000
WNB0004.9+7726    0  4 54.51  77 26 56.8   0  7 36.58  77 43 38.4  S        38      38    0   0   0  2.4 WNP75_000
WNB0005.1+7920    0  5  6.34  79 20 19.1   0  7 50.28  79 37  0.7  S        16      14    0   0   0  2.4 WNP80_000
WNB0005.1+7636    0  5 10.29  76 36 27.8   0  7 52.14  76 53  9.3  S        46      47    0   0   0  2.3 WNP75_000
WNB0005.4+8455    0  5 28.35  84 55 41.8   0  8 25.63  85 12 23.3  S        75      85   62  53 120  1.9 WNP85_000
WNB0005.5+8230    0  5 32.13  82 30 28.0   0  8 21.61  82 47  9.5  S        21      17    0   0   0  2.2 WNP80_000
WNB0005.6+8253    0  5 38.74  82 53  3.5   0  8 29.37  83  9 45.0  S        14      12    0   0   0  2.2 WNP85_000
WNB0005.7+8409    0  5 43.52  84  9 26.1   0  8 38.28  84 26  7.6  S       825     796    0   0   0  2.1 WNP85_000
WNB0005.7+7750    0  5 44.43  77 50 46.8   0  8 27.94  78  7 28.3  S        64      80   71  51  45  2.4 WNP80_000
WNB0005.8+8918    0  5 48.78  89 18 48.4   0 13 13.20  89 35 29.5  S       116     111    0   0   0  2.1 WNP90_000
WNB0005.8+8813    0  5 50.71  88 13 55.7   0  9 44.49  88 30 37.0  S        12      17    0   0   0  1.9 WNP90_000
WNB0005.9+7942    0  5 57.18  79 42 11.8   0  8 42.90  79 58 53.3  S        17      21    0   0   0  2.3 WNP80_000
WNB0005.9+7943    0  5 57.34  79 43 42.2   0  8 43.09  80  0 23.6  S        21      33   71  65  15  2.3 WNP80_000
WNB0006.1+7620    0  6  8.04  76 20 13.5   0  8 50.90  76 36 54.9  S        72      81   58  57 160  2.3 WNP75_000
WNB0006.9+7953    0  6 54.84  79 53  2.4   0  9 42.39  80  9 43.7  S        18      16    0   0   0  2.2 WNP80_000
WNB0006.9+8334    0  6 56.69  83 34 22.0   0  9 52.74  83 51  3.3  S        69      79   60  55 108  2.1 WNP85_000
WNB0006.9+7707    0  6 58.51  77  7 59.4   0  9 43.06  77 24 40.6  S      2026    2059    0   0   0  2.4 WNP75_000
WNB0007.0+7546    0  7  4.08  75 46 38.1   0  9 47.66  76  3 19.4  S       964     970    0   0   0  2.3 WNP75_000
WNB0007.1+8101    0  7  7.20  81  1 43.9   0  9 56.99  81 18 25.2  S         9      16   94  54   6  2.0 WNP80_000
WNB0007.1+7915    0  7  8.94  79 15 50.3   0  9 56.03  79 32 31.5  S        23      24    0   0   0  2.5 WNP80_000
WNB0007.2+7632    0  7 14.11  76 32 33.3   0  9 58.49  76 49 14.6  S *      12       9    0   0   0  2.3 WNP75_000
WNB0007.3+7511    0  7 21.34  75 11 55.8   0 10  4.83  75 28 37.0  S        18      13    0   0   0  2.4 WNP75_000
WNB0007.4+8652    0  7 29.02  86 52 58.5   0 10 54.36  87  9 39.7  S        29      28    0   0   0  2.2 WNP85_000
WNB0007.4+8455    0  7 29.34  84 55 41.3   0 10 33.62  85 12 22.4  S         8      18  124  51 157  1.9 WNP85_000
WNB0007.5+7557    0  7 33.39  75 57 45.7   0 10 17.68  76 14 26.9  S        36      38    0   0   0  2.3 WNP75_000
WNB0007.7+8146    0  7 43.29  81 46 12.9   0 10 35.85  82  2 54.0  S        18      15    0   0   0  2.0 WNP80_000
WNB0007.7+7619    0  7 47.80  76 19 48.2   0 10 32.69  76 36 29.3  M        39      86  142  46 132  2.3 WNP75_000
WNB0007.7+7619A   0  7 38.85  76 20 19.7   0 10 23.56  76 37  0.9  C        39      52   72  55 141  2.3 WNP75_000
WNB0007.7+7619B   0  8  4.12  76 18 54.2   0 10 49.32  76 35 35.3  C        30      34    0   0   0  2.3 WNP75_000
WNB0007.8+8051    0  7 48.04  80 51 35.4   0 10 38.79  81  8 16.5  S       117     116    0   0   0  2.1 WNP80_000
WNB0007.8+8148    0  7 48.30  81 48 50.0   0 10 41.15  82  5 31.1  S        11      21  104  54  23  2.0 WNP80_000
WNB0007.8+7712    0  7 50.98  77 12 54.3   0 10 36.75  77 29 35.5  S        22      31   66  62  44  2.5 WNP75_000
